Major Satellites
 Mimas (SI),185.52,3.0783,0.9424218     S,1.53,0.0202
 Enceladus (SII),238.02,3.9494,1.370218      S,0.00,0.0045
 Tethys (SIII),294.66,4.8892,1.887802      S,1.86,0.0000
 Dione (SIV),377.40,6.2620,2.736915      S,0.02,0.0022
 Rhea (SV),527.04,8.7449,4.517500      S,0.35,0.0010

 Titan (SVI),1221.83,20.273,15.945421      S,0.33,0.0292
 Hyperion (SVII),1481.1,24.575,21.276609      C,0.43,0.1042
 Iapetus (SVIII),3561.3,59.091,79.330183      S,14.72,0.0283

Lesser Satellites
 Pan (SXVIII, S/1981 S13),133.583,2.2165,0.5750,0.0,0.000
 Daphnis (XXXV, S/2005 S1),136.500,2.26,0.594,0.0,0.000
 Atlas (SXV, S/1980 S28),137.670,2.2820,0.6019,0.3,0.000
 Prometheus (SXVI, S/1980 S27),139.353,2.2843,0.6130,0.0,0.0024
 Pandora (SXVII, S/1980 S26),141.700,2.3512,0.6285,0.0,0.0042
 Epimetheus (SXI, S/1980 S3),151.422,2.5099,0.6942        S,0.34,0.009
 Janus (SX, S/1980 S1),151.472,2.5125,0.6945        S,0.14,0.007

 Aegaeon (LIII, S/2008 S1),167.5,2.78,0.8081,0.001,0.0002
 Methone (SXXXII, S/2004 S1),194,3.22,1.01        
 Anthe (XLIX, S/2007 S4),197.7,3.28,1.04,0.1,0.001
 Pallene (SXXXIII, S/2004 S2),211,3.50,1.14
 Calypso (SXIV, S/1980 S25),294.66,4.8892,1.8878,1.473,0.001
 Telesto (SXIII, S/1980 S13),294.66,4.8892,1.8878,1.158,0.001
 Helene (SXII, S/1980 S6),377.40,6.262,2.7369,0.0,0.005
 Polydeuces (SXXXIV, S/2004 S5),377.40,6.26,2.74 

 Kiviuq (SXXIV, S/2000 S5),11110,184.,449,48.7,0.334            
 Ijiraq (SXXII, S/2000 S6),11120,185.,451,49.1,0.316           
 Phoebe (SIX),12944,215.,548R,0.4,174.8,0.164
 Paaliaq (SXX, S/2000 S2),15200,252.,687,47.2,0.364           
 Skathi (SXXVII, S/2000 S8),15540,258.,728R,148.5,0.270
 Albiorix (SXXVI, S/2000 S11),16180,268.,783,34.0,0.469
 Bebhionn (XXXVII, S/2004 S11),17120,284.,835,35.0,0.469  
 Erriapo (SXXVIII, S/2000 S10),17340,288.,871,34.6,0.474
 Siarnaq (SXXIX, S/2000 S3),17530,291.,896,45.6,0.295
 Skoll (XLVII, S/2006 S8),17670,293.,878R,161.2,0.464                 
 Tarvos (SXXI, S/2000 S4),17980,298.,926,33.8,0.531
 Tarqeq (SLII, S/2007 S1),18010,299.,888,46.1,0.160

 Greip (SLI, S/2006 S4),18210,302.,921R,179.8,0.326 
 Hyrrokkin (SXLIV, S/2004 S19),18440,306.,932R,151.4,0.333
 Mundilfari (SXXV, S/2000 S9),18690,310.,953R,169.4,0.210
 Jarnsaxa (SL, S/2006 S6),18810,312.,965R,163.3,0.216                          
 Narvi (SXXXI, S/2003 S1),19010,315.,1004R,145.8,0.431
 Bergelmir (XXXVIII, S/2004 S15),19340,321.,1006R,158.5,0.142  
 Suttungr (SXXIII, S/2000 S12),19460,323.,1017R,175.8,0.114
 Hati (XLIII, S/2004 S14),19860,330.,1039R,165.8,0.372  
 Bestla (SXXXIX, S/2004 S18),20130,334.,1084R,145.2,0.521  
 Farbauti (SXL, S/2004 S9),20390,338.,1086R,156.4,0.206  
 Thrymr (SXXX, S/2000 S7),20470,340.,1094R,175.0,0.470
 Aegir (SXXXVI, S/2004 S10),20740,344.,1117R,166.7,0.252  
 Kari (SXLV, S/2006 S2),22120,367.,1234R,156.3,0.478                          
 Fenrir (SXLI, S/2004 S16),22450,373.,1260R,164.9,0.136  
 Surtur (SXLVIII, S/2006 S7),22710,377.,1298R,177.5,0.451       
 Ymir (SXIX, S/2000 S1),23040,383.,1312R,173.1,0.335
 Loge (SXLVI, S/2006 S5),23070,383.,1313R,167.9,0.187
 Fornjot (SXLII, S/2004 S8),25110,417.,1491R,170.4,0.206   
